EntryName,Status,Week_1,Week_2
ajp0526-1,Eliminated,PIT,TB
ajp0526-2,Alive,LV,GB
ajporrasm-2,Alive,PHI,SF
ajporrasm-3,Alive,PHI,SF
ajporrasm-4,Alive,PIT,PHI
ajporrasm-7,Eliminated,JAC,TB
ajporrasm-8,Eliminated,PIT,LAC
ajporrasm-9,Alive,PHI,DAL
ajporrasm-10,Alive,JAC,SF
ajporrasm-11,Alive,PIT,SF
ajporrasm-12,Alive,PIT,SF
ajporrasm-13,Alive,LV,SF
ajporrasm-14,Eliminated,LV,LAC
ajporrasm-15,Eliminated,PIT,TB
ajporrasm-16,Alive,PIT,CAR
ajporrasm-19,Eliminated,PHI,TB
ajporrasm-20,Alive,PIT,SF
ajporrasm-22,Eliminated,JAC,TB
ajporrasm-23,Alive,JAC,SF
ajporrasm-25,Eliminated,JAC,TB
ajporrasm-26,Alive,PIT,SF
ajporrasm-27,Eliminated,PIT,TB
ajporrasm-28,Alive,JAC,PHI
ajporrasm-31,Eliminated,JAC,TB
ajporrasm-32,Alive,PIT,SF
ajporrasm-33,Eliminated,PIT,LAC
ajporrasm-34,Eliminated,PIT,LAC
ajporrasm-35,Eliminated,JAC,TB
ajporrasm-36,Alive,PIT,PHI
ajporrasm-38,Alive,LV,SF
ajporrasm-40,Alive,JAC,SF
ajporrasm-42,Eliminated,PIT,TB
ajporrasm-44,Alive,JAC,DAL
ajporrasm-47,Alive,JAC,PHI
ajporrasm-48,Eliminated,PIT,TB
ajporrasm-49,Eliminated,JAC,LAC
ajporrasm-50,Eliminated,PIT,TB
ajporrasm-53,Eliminated,JAC,LAC
ajporrasm-54,Alive,JAC,SF
ajporrasm-55,Eliminated,PIT,TB
ajporrasm-56,Alive,JAC,KC
ajporrasm-58,Alive,PIT,PHI
ajporrasm-60,Alive,PIT,SF
ajporrasm-61,Alive,PHI,SF
ajporrasm-64,Alive,JAC,SF
ajporrasm-65,Alive,JAC,SF
ajporrasm-66,Alive,JAC,DAL
ajporrasm-67,Alive,JAC,SF
ajporrasm-68,Alive,DET,PHI
ajporrasm-70,Alive,PIT,SF
ajporrasm-72,Eliminated,PIT,LAC
ajporrasm-73,Eliminated,JAC,LAC
ajporrasm-76,Alive,JAC,SF
ajporrasm-77,Eliminated,JAC,TB
ajporrasm-78,Alive,PIT,SF
ajporrasm-80,Eliminated,JAC,TB
ajporrasm-81,Alive,PIT,PHI
ajporrasm-82,Eliminated,JAC,TB
ajporrasm-83,Eliminated,DET,LAC
ajporrasm-84,Alive,JAC,SF
ajporrasm-86,Alive,PIT,SF
ajporrasm-88,Eliminated,LV,TB
ajporrasm-89,Alive,PIT,SF
ajporrasm-91,Eliminated,PIT,TB
ajporrasm-92,Alive,PIT,SF
ajporrasm-93,Alive,JAC,SF
ajporrasm-94,Eliminated,JAC,TB
ajporrasm-97,Alive,PIT,PHI
ajporrasm-98,Eliminated,JAC,LAC
ajporrasm-103,Alive,JAC,SF
ajporrasm-104,Alive,JAC,SF
ajporrasm-107,Eliminated,JAC,TB
ajporrasm-108,Alive,JAC,PHI
ajporrasm-109,Eliminated,JAC,LAC
ajporrasm-111,Alive,PIT,SF
ajporrasm-112,Alive,PIT,CAR
ajporrasm-114,Alive,CIN,DAL
ajporrasm-115,Alive,PIT,SF
ajporrasm-116,Alive,JAC,PHI
ajporrasm-117,Alive,PIT,SF
ajporrasm-118,Alive,PIT,SF
ajporrasm-119,Eliminated,LV,TB
ajporrasm-120,Eliminated,LV,CHI
ajporrasm-121,Alive,PIT,SF
ajporrasm-122,Eliminated,PIT,TB
ajporrasm-123,Eliminated,LV,TB
ajporrasm-125,Eliminated,JAC,TB
ajporrasm-127,Eliminated,JAC,TB
ajporrasm-128,Eliminated,PIT,LAC
ajporrasm-129,Eliminated,PIT,LAC
ajporrasm-131,Alive,JAC,SF
ajporrasm-132,Alive,JAC,SF
ajporrasm-134,Eliminated,JAC,TB
ajporrasm-135,Alive,LV,DAL
ajporrasm-136,Alive,JAC,SF
ajporrasm-139,Alive,JAC,SF
ajporrasm-140,Eliminated,JAC,TB
ajporrasm-144,Alive,LV,DAL
ajporrasm-145,Eliminated,JAC,TB
ajporrasm-147,Alive,JAC,PHI
ajporrasm-148,Alive,PIT,SF
ajporrasm-150,Alive,PIT,DAL
AJSPERFECTNOSEPICKS-1,Alive,LV,PHI
AJSPERFECTNOSEPICKS-2,Eliminated,PIT,TB
