EntryName,Status,Week_1,Week_2,Planner,Contrarian,EV Hunter,Sprinter,Hoarder,Tourist,Picks_Used,Primary_Archetype,Archetype_Mix,Confidence
abbq-107,Eliminated,LV,TB,46.7,12.5,71.9,78.1,63.5,40.6,1,Sprinter,Sprinter (78) / EV Hunter (72) / Hoarder (64),Low
abbq-108,Alive,LV,SF,46.7,12.5,71.9,78.1,63.5,40.6,1,Sprinter,Sprinter (78) / EV Hunter (72) / Hoarder (64),Low
abbq-109,Alive,LV,SEA,46.7,12.5,71.9,78.1,63.5,40.6,1,Sprinter,Sprinter (78) / EV Hunter (72) / Hoarder (64),Low
abbq-110,Alive,LV,SF,46.7,12.5,71.9,78.1,63.5,40.6,1,Sprinter,Sprinter (78) / EV Hunter (72) / Hoarder (64),Low
abbq-111,Eliminated,MIN,TB,83.6,37.5,56.2,59.4,14.8,73.4,1,Planner,Planner (84) / Tourist (73),Low
abbq-112,Alive,MIN,SF,83.6,37.5,56.2,59.4,14.8,73.4,1,Planner,Planner (84) / Tourist (73),Low
abbq-113,Alive,MIN,SF,83.6,37.5,56.2,59.4,14.8,73.4,1,Planner,Planner (84) / Tourist (73),Low
abbq-114,Alive,MIN,PHI,83.6,37.5,56.2,59.4,14.8,73.4,1,Planner,Planner (84) / Tourist (73),Low
abbq-115,Alive,MIN,KC,83.6,37.5,56.2,59.4,14.8,73.4,1,Planner,Planner (84) / Tourist (73),Low
abbq-116,Alive,PHI,SEA,86.5,15.6,90.6,87.5,21.9,31.2,1,EV Hunter,EV Hunter (91) / Sprinter (88) / Planner (86),Low
abbq-117,Alive,PHI,SF,86.5,15.6,90.6,87.5,21.9,31.2,1,EV Hunter,EV Hunter (91) / Sprinter (88) / Planner (86),Low
abbq-118,Alive,PHI,SF,86.5,15.6,90.6,87.5,21.9,31.2,1,EV Hunter,EV Hunter (91) / Sprinter (88) / Planner (86),Low
abbq-119,Alive,PHI,SF,86.5,15.6,90.6,87.5,21.9,31.2,1,EV Hunter,EV Hunter (91) / Sprinter (88) / Planner (86),Low
abbq-120,Eliminated,PHI,BAL,86.5,15.6,90.6,87.5,21.9,31.2,1,EV Hunter,EV Hunter (91) / Sprinter (88) / Planner (86),Low
abbq-121,Alive,PHI,SF,86.5,15.6,90.6,87.5,21.9,31.2,1,EV Hunter,EV Hunter (91) / Sprinter (88) / Planner (86),Low
abbq-122,Eliminated,PHI,LAC,86.5,15.6,90.6,87.5,21.9,31.2,1,EV Hunter,EV Hunter (91) / Sprinter (88) / Planner (86),Low
abbq-123,Eliminated,PHI,CHI,86.5,15.6,90.6,87.5,21.9,31.2,1,EV Hunter,EV Hunter (91) / Sprinter (88) / Planner (86),Low
abbq-124,Alive,PHI,SF,86.5,15.6,90.6,87.5,21.9,31.2,1,EV Hunter,EV Hunter (91) / Sprinter (88) / Planner (86),Low
abbq-125,Alive,PHI,SF,86.5,15.6,90.6,87.5,21.9,31.2,1,EV Hunter,EV Hunter (91) / Sprinter (88) / Planner (86),Low
abbq-126,Alive,PIT,PHI,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
abbq-127,Eliminated,PIT,TB,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
